 名称,许可证号,许可证有效期,地址,经营项目,经营方式,食品类型,主题类型 ,lat,lng,town
 佛山市南海区大沥盐步仁宜副食品店,SP4406821350083376,12/23/2016,佛山市南海区大沥镇广佛新干线盐步地段雅居乐御景名门花园18座19号铺,预包装食品、乳制品,零售, , ,23.106343,113.169854,大沥镇,盐步大道
 佛山市南海区官窑锦浩文具店,SP4406821350082824,12/17/2016,佛山市南海区狮山镇官窑起凤西路9号之二,预包装食品、乳制品,零售, , ,23.226873,113.071932,狮山镇,润景路
 佛山市南海区九江好得睐食品店,SP4406821350083219,12/22/2016,佛山市南海区九江洛浦汇港城综合市场内首层75号铺,预包装食品、散装食品,批发兼零售, , ,23.162283,112.893964,西南街道,月桂一路
 佛山市惠壹食品有限公司,SP4406821310081075,12/02/2016,佛山市南海区西樵樵高公路北侧西樵轻纺城锦霞街86号首层,预包装食品,批发兼零售, , ,22.953642,112.973297,西樵镇,锦霞街
 佛山市南海罗乐日杂店,SP4406821350082816,12/17/2016,佛山市南海区官窑永安大道西39号首层铺位自编1号,预包装食品、散装食品,零售, , ,23.221769,113.077052,狮山镇,S361(永安大道西)
 佛山市南海区御品商行,SP4406821150225733,11/06/2014,佛山市南海区西樵崇南涌口村伟业综合楼首层123号,预包装食品,批发兼零售, , ,22.957217,112.98125,西樵镇,启沅路
 佛山市南海灏记食品店,SP4406821350082576,12/15/2016,佛山市南海区西樵镇江浦东路1号（针织大楼）一楼自编8号铺,预包装食品、散装食品、乳制品,零售, , ,22.850428,113.253854,大良街道,和桂路
 佛山市南海区花花乐巢酒吧有限公司,SP4406821110182009,12/12/2016,佛山市南海区桂城街道文华北路44号首层,预包装食品,零售, , ,23.051567,113.122181,桂城街道,文华北路
 佛山市南海区知己茶叶商行,SP4406821350083180,12/22/2016,佛山市南海区狮山镇罗村街边村委会西侧综合楼首层3号商铺,预包装食品、散装食品,零售, , ,23.013687,113.115337,石湾镇街道,玫瑰东路
 佛山市全家福医药有限公司横江分店,SP4406821310081807,12/22/2016,佛山市南海区丹灶镇横江圩南街一巷五号首层,预包装食品、乳制品,零售, , ,23.053335,112.914423,丹灶镇,桂丹西路
 佛山市正中医药连锁有限公司和顺分店,SP4406821310076434,10/20/2016,佛山市南海区里水镇和顺金溪商贸城D座1号,预包装食品、乳制品,零售, , ,23.259514,113.126201,里水镇,金逢路
 佛山市南海区大沥友粮大米经营部,SP4406821350052089,06/30/2014,佛山市南海区大沥镇盐步广东金珠三角粮油物流中心内新二栋首层24号商铺,预包装食品,批发兼零售, , ,23.100834,113.181212,大沥镇,穗盐东路
 佛山市南海区天辅烟酒商行,SP4406821050174202,12/11/2016,佛山市南海区平洲夏西佛平旧路边三联综合楼,预包装食品,零售, , ,23.044779,113.156752,桂城街道,工业区大街
 佛山市南海区小塘昌裕杂货店,SP4406821050179071,12/12/2016,佛山市南海区小塘协丰市场四周64号铺,预包装食品兼散装食品,零售, , ,23.094353,112.973019,狮山镇,永安路
 佛山市南海区泮边百货店,SP4406821350082785,12/17/2016,佛山市南海区狮山镇红星村泮边村民小组居仁里2号首层,预包装食品、乳制品,零售, , ,23.184594,112.999185,狮山镇,
 佛山市南海区西樵七叔购销部,SP4406821350082486,12/12/2016,佛山市南海区西樵解放路路边陈西樵衡峰商业街第2幢一楼207号,预包装食品、乳制品,批发兼零售, , ,22.951113,112.981046,西樵镇,解放路
 佛山市南海加速度网吧,SP4406821110188353,04/07/2014,佛山市南海区罗村街道乐安开发区乐城二路北171号二楼,预包装食品,零售, , ,23.06802,113.096673,大沥镇,乐城二路
 佛山市南海区西樵镇万华茗茶行,SP4406821350082226,12/10/2016,佛山市南海区西樵镇官山城区樵高公路吉水段南侧文华苑首层17号铺,预包装食品,批发兼零售, , ,22.951298,112.96793,西樵镇,S269(西樵大道)
 佛山市南海区西樵盛梅茶行,SP4406821350082478,12/12/2016,佛山市南海区西樵镇文武街南三巷1号,预包装食品,批发兼零售, , ,22.945508,112.979228,西樵镇,长堤路
 佛山市南海区桂城鸿盛烟酒店,SP4406821050178351,12/11/2016,佛山市南海区桂城海三西路十九号翠庭轩六幢11号铺,预包装食品,零售, , ,23.052301,113.12698,桂城街道,海四路
 佛山市南海区宏晖商行,SP4406821350081932,12/08/2016,佛山市南海区九江镇镇南工业区（稔朗2号地D座4号铺）,预包装食品、乳制品,批发兼零售, , ,23.096265,113.109248,大沥镇,三角市北街
 佛山市南海区九江胜佳商店,SP4406821350082664,12/16/2016,佛山市南海区九江下西教育路好万家对面铺,预包装食品,零售, , ,22.830151,113.000261,九江镇,洪圣村路
 佛山市昊浩商贸有限公司,SP4406821310082570,12/12/2016,佛山市南海区大沥沥东江夏路段建业大厦第8层816房,预包装食品、乳制品,批发, , ,23.112482,113.116558,大沥镇,振兴路
 佛山市南海区盐步魏开友熟食店,SP4406821350082697,12/16/2016,佛山市南海区大沥镇盐步盈丰市场熟食14号铺,散装食品,零售, , ,23.112067,113.104895,大沥镇,新城大道辅路
 佛山市南海宝易茶行,SP4406821050178628,12/12/2016,佛山市南海区小塘兴业街兴盛楼102铺,预包装食品兼散装食品,零售, , ,23.070487,113.096717,大沥镇,富城二路
 佛山市南海区桂城客家仔水果店,SP4406821350082961,12/17/2016,佛山市南海区桂城街道天佑六路3号1幢101铺之一,预包装食品,零售, , ,23.027937,113.142729,桂城街道,天佑六路
 佛山市南海区邮政局沙头分局,SP4406821310082682,12/18/2016,佛山市南海区九江镇沙头万安路1号,预包装食品,零售, , ,22.918196,113.021162,九江镇,万安路
 佛山市南海区东江食品商行,SP4406821350083122,12/19/2016,佛山市南海区桂城桂澜路A10街区城市休闲购物广场A座佛山市南海区华南通商贸发展有限公司内A9号,预包装食品、乳制品,零售, , ,23.036869,113.151334,桂城街道,桂平西路
 佛山市南海区邮政局九江分局,SP4406821310082674,12/18/2016,佛山市南海区九江洛浦大道洛阳楼1-2号地铺,预包装食品,零售, , ,22.836636,112.996892,九江镇,洛浦路
 佛山市南海区深塔商店,SP4406821050177776,12/11/2016,佛山市南海区松岗联表大道,预包装食品、乳制品,零售, , ,23.147192,113.096797,狮山镇,松岗大道
 佛山市南海区雪域品珍食品商行,SP4406821350082517,12/12/2016,佛山市南海区桂城桂平西路3号怡翠花园海棠苑首层24号商铺,预包装食品,零售, , ,23.037519,113.158591,桂城街道,华翠南路辅路
 佛山市南海区葵如日用品店,SP4406821050178327,12/11/2016,佛山市南海区桂城海三西路十九号翠庭轩七幢5号铺,预包装食品,零售, , ,23.052519,113.126339,桂城街道,海四路
