 名称,地址,服务时间,类型,联系电话等,许可证号,许可证有效期 ,lat,lng,town
 佛山市南海区豫莹餐馆,佛山市南海区罗村沙坑工业区3-4号商铺, ,中型餐馆, ,粤餐证字2013440605002516,2016-07-30 00:00:00.0 ,23.081819,113.061947,狮山镇,
 佛山市南海区西樵镇锦庆小食店,佛山市南海区西樵西岸理学三村, ,小型餐馆, ,粤餐证字2013440605002513,2016-07-30 00:00:00.0 ,22.949658,112.976149,西樵镇,庆和街
 佛山市南海区西樵蒸味香小食店,佛山市南海区西樵镇官山城区江浦西路4号3座首层45号, ,小吃店, ,粤餐证字2013440605002512,2016-07-30 00:00:00.0 ,22.943756,112.977838,西樵镇,江浦西路
 佛山市南海区罗昀小吃店,佛山市南海区罗村联星大道南区商业城侧6号商铺, ,小吃店, ,粤餐证字2013440605002517,2016-07-30 00:00:00.0 ,23.052265,113.07756,狮山镇,X508(佛罗路)
 佛山市南海区丹灶圩妙灵凉茶店,佛山市南海区丹灶镇有为大道广视楼5号铺位, ,饮品店, ,粤餐证字2013440605002519,2016-07-30 00:00:00.0 ,23.053335,112.914423,丹灶镇,桂丹西路
 广东宏陶陶瓷有限公司小饭堂,佛山市南海区狮山镇官窑大榄工业区, ,食堂, ,粤餐证字2012440605001375,2015-11-28 00:00:00.0 ,23.194591,113.028531,狮山镇,大榄大道
 佛山市南海区盐步好又来饮食店,佛山市南海区盐步联安小桥靠广佛二线（南国小商品城侧）12号铺, ,快餐店, ,粤餐证字2013440605002521,2016-07-30 00:00:00.0 ,23.104512,113.146421,大沥镇,广佛新干线
 佛山市南海区里水周召梅商店,佛山市南海区里水镇赤坎路2号, ,小吃店, ,0682C27191,2015-12-22 00:00:00.0 ,23.19388,113.162239,里水镇,赤坎路
 佛山市桂宏食府餐饮有限公司,佛山市南海区桂城街道城市广场北侧御城花园酒店附楼, ,大型餐馆, ,粤餐证字2013440605002520,2016-07-30 00:00:00.0 ,23.039617,113.151193,桂城街道,桂澜路
 佛山市南海区黄岐中联宾馆,佛山市南海区黄岐鄱阳西路38号, ,大型餐馆, ,0682C10083,2015-01-05 00:00:00.0 ,23.119354,113.173439,大沥镇,鄱阳西路
 佛山市南海区罗村上柏周少飞小食店,佛山市南海区罗村上柏为群综合市场西侧6号铺, ,小吃店, ,粤餐证字2013440605002438,2016-07-17 00:00:00.0 ,23.077098,113.021332,狮山镇,桂丹路辅路
 佛山市南海区华联制衣厂,佛山市南海区大沥镇黄岐办事处六联村委会东侧, ,食堂, ,粤餐证字2013440605002436,2016-07-17 00:00:00.0 ,23.119517,113.181721,大沥镇,鄱阳路
 佛山市南海区盐步河西源源小食店,佛山市南海区盐步河西大道傍北海田第3、4号铺位, ,小吃店, ,粤餐证字2014440605700044,2017-09-28 00:00:00.0 ,23.084224,113.154347,大沥镇,东大街
 佛山大家乐饮食有限公司南海大道分店,佛山市南海区桂城南海大道北51号（原南海大道中41号）财汇大厦首层1A25商铺, ,快餐店, ,粤餐证字2013440605002437,2016-07-17 00:00:00.0 ,23.044327,113.134216,桂城街道,南海大道
 佛山市南海区大沥元隆猪脚快餐店,佛山市南海区大沥镇环镇路4号之5商铺, ,快餐店, ,粤餐证字2013440605002439,2016-07-17 00:00:00.0 ,23.115953,113.11478,大沥镇,环镇路
 佛山市南海区九江幸润快餐店,佛山市南海区九江镇龙高路烟南路段（潘祥松综合楼1号铺）, ,中型餐馆, ,粤餐证字2013440605002441,2016-07-18 00:00:00.0 ,22.872065,112.956468,九江镇,S362(龙高路)
 佛山市南海五朝烩食府,佛山市南海区桂城街道东平路20号金百福都市广场D栋B座2楼, ,中型餐馆, ,粤餐证字2013440605002442,2016-07-18 00:00:00.0 ,23.027038,113.165571,桂城街道,庆安路
 佛山市南海区桂城金多福餐厅,佛山市南海区桂城街道东平路20号金百福都市广场C栋03号商铺, ,小型餐馆, ,粤餐证字2013440605002443,2016-07-18 00:00:00.0 ,23.027597,113.16504,桂城街道,平海路
 佛山市南海区万金美食店,佛山市南海区桂城街道季华东路冯格孖塘4号铺, ,中型餐馆, ,粤餐证字2013440605002444,2016-07-18 00:00:00.0 ,23.096391,113.171955,大沥镇,盐步大道
 佛山市南海区天时云吞面店,佛山市南海区桂城南桂东路66号桂南名都二期商业物业（百花时代广场）壹楼201、202号, ,快餐店, ,粤餐证字2013440605002445,2016-07-18 00:00:00.0 ,23.035186,113.149581,桂城街道,南桂东路
 佛山市南海区尚谷奶咖饮品店,佛山市南海区桂城街道东二中心村中心大街1号自编2号铺, ,饮品店, ,粤餐证字2013440605002446,2016-07-18 00:00:00.0 ,23.029747,113.154139,桂城街道,中心大街
 一汽-大众汽车有限公司佛山分公司,佛山市南海区狮山镇南海软件科技园内创业中心（办公楼）A座109室, ,食堂, ,粤餐证字2013440605002447,2016-07-18 00:00:00.0 ,23.141312,113.021098,狮山镇,信息大道南
