 名称,许可证号,许可证有效期,地址,类型 ,lat,lng,town
 重庆味千餐饮文化有限公司南海大沥工业大道分店,粤餐证字2013440605001595,2016-01-15,佛山市南海区大沥工业大道12号南海新都会二层2F89铺,小吃店 ,23.12586,113.150507,大沥镇,工业大道
 佛山市南海区大沥镇黄岐福齐天酒楼,粤餐证字2013440605001658,2016-01-28,佛山市南海区大沥镇广东（广佛）百货五金城五期A2座二楼,大型餐馆 ,23.112708,113.173941,大沥镇,西湖路
 广东三元麦当劳食品有限公司西樵金典广场分店,粤餐证字2013440605001691,2016-02-04,佛山市南海区西樵镇登山大道边西樵金典广场首层A1002-A1005、A1016-A1020,快餐店 ,22.943364,112.980733,西樵镇,江浦东路
 佛山市南海区桂城悦隆庄酒家（普通合伙）,粤餐证字2013440605001579,2016-01-14,佛山市南海区桂城怡海路南海壹品广场7号楼021商铺,中型餐馆 ,23.022549,113.156595,桂城街道,怡海路
 佛山市南海区童梦城堡（国际）实验幼儿园,粤餐证字2013440605001699,2016-02-06,佛山市南海区罗村街道芦塘村（土名）“吊钟岗、柚柑岗”地段,食堂 ,23.066177,113.038899,狮山镇,沿江北路
 广东三元麦当劳食品有限公司桂城财汇大厦分店,粤餐证字2013440605001754,2016-03-10,佛山市南海区桂城南海大道中41号财汇大厦首、二层,快餐店 ,23.044327,113.134216,桂城街道,南海大道
 佛山市南海区里水镇和顺第一初级中学,粤餐证字2013440605001761,2016-03-11,佛山市南海区里水镇和顺山口路,食堂 ,23.201026,113.158807,里水镇,新兴路
 佛山市南海区湘粮坊饮食店,粤餐证字2013440605001773,2016-03-13,佛山市南海区大沥镇盐步盐桂路南海时代广场自编A座首层109号,大型餐馆 ,23.095736,113.169223,大沥镇,穗盐西路
 佛山市南海区大沥北大园幼儿园,粤餐证字2013440605001792,2016-03-18,佛山市南海区大沥镇黄岐六联九村东西大街13号,食堂 ,23.11742,113.176675,大沥镇,东西大街
 佛山市南海区大沥丽莲幼儿园,粤餐证字2013440605001798,2016-03-19,佛山市南海区大沥镇平地文明路14号,食堂 ,23.140613,113.098082,狮山镇,松岗大道
 佛山市南海区狮山颜峰幼儿园,粤餐证字2013440605001888,2016-04-10,佛山市南海区狮山镇颜峰泗和村,食堂 ,23.124953,113.002144,狮山镇,博爱路
 佛山市南海区桂城九寨庄美食店,粤餐证字2013440605001895,2015-03-28,桂城街道平洲夏南二石岸水闸以南,中型餐馆 ,23.059669,113.173092,桂城街道,石岸大街
 佛山市南海区小塘中心幼儿园,粤餐证字2013440605001917,2016-04-16,佛山市南海区狮山镇小塘思贤路2号,食堂 ,23.095419,112.972451,狮山镇,长安路
 佛山市南海区大沥中心幼儿园,粤餐证字2013440605001922,2014-10-18,佛山市南海区大沥镇教育路10号,食堂 ,23.115946,113.12047,大沥镇,教育路
 佛山市南海区西樵巧意小食店,粤餐证字2013440605001930,2016-04-18,佛山市南海区西樵镇官山圩江浦东路南海丝厂厂外五号楼104房78号,小型餐馆 ,22.943302,112.976649,西樵镇,江浦西路
 佛山市南海龙威酒店有限公司,粤餐证字2013440605001943,2016-04-21,佛山市南海区里水镇桂和公路大冲路段,中型餐馆 ,23.157121,113.12115,里水镇,桂和路辅路
 狮山镇建设大厦饭堂,粤餐证字2013440605001980,2016-04-26,佛山市南海区狮山镇红星一路狮山镇建设大厦,食堂 ,23.129424,112.997939,狮山镇,红星一路
 佛山市南海区官窑忠营饮食店,粤餐证字2013440605002006,2016-05-07,佛山市南海区狮山镇官窑大榄大塘底综合楼（即大榄小学对面广场）自编9号首层铺位,小型餐馆 ,23.194687,113.027913,狮山镇,大榄大道
 广东三元麦当劳食品有限公司南海九江甜品站,粤餐证字2013440605001995,2016-05-05,广东省佛山市南海区九江镇下西侯王村九江商业中心3号楼首层中堂（F04）商铺,饮品店（甜品店） ,22.830151,113.000261,九江镇,洪圣村路
 广东三元麦当劳食品有限公司嘉洲广场分店,粤餐证字2013440605002029,2016-05-09,佛山市南海区黄岐广佛一路98号嘉洲广场首、二层,快餐店 ,23.111546,113.183408,大沥镇,广佛一路
 佛山市南海驰原汤粉店官窑分店,粤餐证字2013440605002054,2016-05-13,佛山市南海区狮山镇官窑惠民路2号首层铺位,小吃店 ,23.228458,113.078929,狮山镇,市场二路
 佛山市南海区广礼饮品店,粤餐证字2013440605002109,2016-05-23,佛山市南海区狮山镇松岗富民路8号,饮品店 ,23.142577,113.099028,狮山镇,富民路
 佛山市南海区狮山狮北庆球幼儿园,粤餐证字2013440605002110,2016-05-23,佛山市南海区狮山镇狮北村委会侧狮北庆球幼儿园,食堂 ,23.176005,112.97121,狮山镇,X512(银狮路)
 佛山市南海区斌惠小吃店,粤餐证字2013440605002133,2016-05-27,佛山市南海区罗村街道北湖三路湖景苑丽景轩8座商铺首层17号,小吃店 ,23.064976,113.054672,狮山镇,北湖三路
